postcode,town
SW1A,Whitehall
SW1E,Northern Victoria
SW1H,St James's Park tube station
SW1P,Parliament Square
SW1V,between Vauxhall Bridge and Victoria Station
SW1W,South or lower Belgravia and Chelsea
SW1X,Belgravia
SW1Y,St James's
W1A,non-geographic
W1B,Portland Place
W1C,Oxford Street
W1D,Soho (south east)
W1F,Soho (north west)
W1G,Harley Street
W1H,Marylebone
W1J,Mayfair (south)
W1K,Mayfair (north)
W1S,Mayfair (east)
W1T,Fitzrovia
W1U,Marylebone
W1W,East Marylebone
EC1A,St Bartholomew's Hospital
EC1M,Clerkenwell Farringdon
EC1N,Hatton Garden
EC1P,non-geographic
EC1R,Finsbury
EC1V,Finsbury (east)
EC1Y,St Luke's
EC2A,Shoreditch	Islington
EC2M,Broadgate
EC2N,Old Broad Street
EC2P,non-geographic
EC2R,Bank of England
EC2V,Guildhall
EC2Y,Barbican
EC3A,St Mary Axe
EC3M,Lloyd's of London
EC3N,Tower Hill
EC3P,non-geographic
EC3R,Monument
EC3V,Cornhill
EC4A,Fetter Lane
EC4M,St Paul's
EC4N,Mansion House
EC4P,non-geographic
EC4R,Cannon Street
EC4V,Blackfriars
EC4Y,Temple
EC50,non-geographic
WC1A,New Oxford Street
WC1B,Bloomsbury
WC1E,Birkbeck College
WC1H,St Pancras
WC1N,Russell Square
WC1R,Gray's Inn	Camden
WC1V,High Holborn
WC1X,Kings Cross
WC2A,Chancery Lane
WC2B,Drury Lane
WC2E,Covent Garden
WC2H,Leicester Square
WC2N,Charing Cross
WC2R,Somerset House